connective,mmi,mi3,pmi
с тем чтобы,17.61735,31.81991,20.83588
только бы,17.66273,20.13937,3.98053
с тех пор как,20.4234,42.86123,36.71646
опять же,18.49576,22.71143,7.61316
разве что,18.19457,21.84808,6.15325
тем временем,22.09155,27.58368,13.94521
до тех пор пока,22.41007,44.88272,39.58262
а то и,16.72695,31.37616,19.07906
лишь бы,19.96396,23.21759,7.30049
к примеру,19.61156,23.77905,8.09083
вот почему,19.14767,24.09397,8.55368
более того,20.4075,27.30415,12.82857
одним словом,23.79508,27.29324,12.79377
в то время как,19.80974,43.38193,35.83112
после чего,18.14722,25.4689,9.94904
тем самым,17.10232,27.35554,13.65342
если же,17.66437,23.19329,6.41372
несмотря на то что,20.25928,46.51798,40.04995
даже если,18.36058,23.95286,7.41814
не то что,19.0252,33.53648,21.38098
оттого что,19.61332,24.53008,8.20008
тогда как,17.81845,23.4651,6.63601
в первую очередь,22.51961,32.83586,20.13949
а именно,17.82887,23.57104,6.65105
так чтобы,18.01078,23.75951,6.91349
прежде чем,21.00407,27.01816,11.23189
тем более что,20.57202,35.9567,24.00699
главным образом,22.48177,26.88334,10.89907
в особенности,17.74467,22.60132,5.39747
с другой стороны,21.82243,32.84521,19.13367
вместе с тем,18.0233,33.83385,22.67672
после того как,19.04231,35.51575,22.89166
а ведь,17.9223,24.46361,6.78584
будто бы,20.20218,24.68048,7.64417
так же как,19.48697,33.8784,20.15095
за то что,17.96348,34.27609,20.44242
в частности,18.10592,24.23956,5.91864
во всяком случае,24.71363,36.29766,23.30479
к тому же,19.38454,36.35868,23.3854
тем не менее,19.79311,36.35306,24.16089
как только,17.21361,24.41183,5.76341
в то же время,13.49513,44.18922,36.27011
на что,16.86285,26.10046,8.09608
по крайней мере,24.09307,36.14553,22.40952
и теперь,16.80149,24.42084,5.16885
если не,17.3641,25.08474,5.98052
тем более,18.39542,25.78213,9.50047
для того чтобы,18.53012,36.41155,22.15273
и то,15.80777,25.22467,6.19257
хотя бы,20.75001,27.17402,8.43452
кроме того,18.25031,27.9017,10.09776
вот и,17.17497,25.28997,5.70766
прежде всего,20.05956,30.1697,12.70796
между тем,17.99475,27.18123,9.72907
не то,17.60962,26.54948,8.79209
а то,16.65579,26.54668,7.41599
таким образом,22.49971,29.15466,10.92496
только что,18.47415,26.35536,6.5566
и вот,16.9772,25.85531,5.42235
при этом,18.29929,29.22582,10.16843
так что,17.91697,26.74236,5.75276
то есть,19.7619,30.23742,10.67245
если бы,20.54813,28.44313,8.14327
как и,17.01327,26.7105,5.47439
да и,17.66478,27.38424,6.41431
как бы,19.59921,27.73926,6.77427
так как,18.00759,28.08521,6.90888
не только,18.88092,29.47391,8.16883
потому что,19.89576,30.54637,8.60755
всё же | ж,16.60076,24.75332,5.48458
равно как,18.93775,21.9084,8.25081
должно быть,17.0531,28.53635,10.76386
хорошо если,17.94593,19.98462,6.67942
в общем,18.11666,17.14857,5.93414
между прочим,20.50383,28.1265,11.40148
благо что,18.52099,13.93334,4.38559
нет чтобы,11.89258,17.21129,6.73639
надо сказать,13.83671,23.7443,8.54877
то бишь,20.25914,20.87708,9.76193
может быть,18.27289,30.6234,9.38269
стало быть,18.14765,25.38212,9.202
наподобие того что,16.99447,18.98134,19.04444
как всё равно,15.18373,24.00811,19.73396
всё ж таки,22.04082,29.90144,25.3309
всё равно как,16.38717,30.37832,23.38831
всё равно что,16.43837,32.38394,22.78209
в том плане что,19.92259,32.92309,34.61209
в том духе что,20.36334,34.19763,35.24796
в том отношении что,19.7564,36.17266,34.37233
на том основании что,22.10845,39.92139,37.76562
в том смысле что,20.868,40.77831,35.97604
что касается того что,19.9649,37.06313,42.75569
судя по тому что,21.92233,41.16132,40.58148
в сравнении с тем как,17.02398,47.33572,61.12108
